Deficiency Line,pval het vs hemi
23667,6.54086685672771e-70
23668,0.0213880999332709
24416,1.37333247722998e-136
24417,3.46341508380148e-48
24418,2.88582402396179e-125
26525,1.30704485720421e-295
26827,4.75732539095099e-32
26828,0.123993427400266
27577,1.04191796555609e-08
6457,2.53395520099176e-93
8066,1.24618448906079e-12
8068,1.00736164300411e-24
8069,5.89793631261796e-07
8072,3.64049044875379e-61
8970,1.2694523507272e-15
8975,0.000114227001314892
9355,0.471327721650022
